BEER,BREWERY,LOCATION,STYLE,SUBSTYLE,,SIZE,ABV,IBUs,Unique
White Thai,Westbrook Brewing Company,"Mt. Pleasant, SC",Other Ale,Witbier,,12,0.05,16,a234
Sly Fox Christmas Ale,Sly Fox Brewing Company,"Phoenixville, PA",Other Ale,Winter Warmer,,12,0.055,16,a235
Abita Amber,Abita Brewing Company,"Abita Springs, LA",Lager,American Amber / Red Lager,,12,0.045,17,a236
Schlafly Summer Lager,Schlafly Brewing Company,"Saint Louis, MO",Lager,Munich Helles Lager,,12,0.045,17,a237
Orange Wheat,Hangar 24 Craft Brewery,"Redlands, CA",Fruit,Fruit / Vegetable Beer,,12,0.046,17,a238
21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,"San Francisco, CA",Fruit,Fruit / Vegetable Beer,,12,0.049,17,a239
Colorado Kê_lsch,Steamworks Brewing Company,"Durango, CO",Wheat,Kê_lsch,,12,0.049,17,a240
Hell or High Watermelon Wheat,21st Amendment Brewery,"San Francisco, CA",Fruit,Fruit / Vegetable Beer,,12,0.049,17,a241
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,"San Francisco, CA",Fruit,Fruit / Vegetable Beer,,12,0.049,17,a242
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,"San Francisco, CA",Fruit,Fruit / Vegetable Beer,,12,0.049,17,a243
Apricot Blonde,Dry Dock Brewing Company,"Aurora, CO",Fruit,Fruit / Vegetable Beer,,12,0.051,17,a244
Country Pale Ale,Wachusett Brewing Company,"Westminster, MA",Other Ale,English Pale Ale,,12,0.051,17,a245
Polar Pale Ale,Broken Tooth Brewing Company,"Anchorage, AK",American Pale Ale (APA),American Pale Ale (APA),,12,0.052,17,a246
Ellie_ã_s Brown Ale,Avery Brewing Company,"Boulder, CO",Other Ale,American Brown Ale,,12,0.055,17,a247
Whitsun,Arcadia Brewing Company,"Battle Creek, MI",Other Ale,American Pale Wheat Ale,,12,0.062,17,a248
Mexican Logger,Ska Brewing Company,"Durango, CO",Lager,American Pale Lager,,12,0.042,18,a249
Bikini Blonde Lager,Maui Brewing Company,"Lahaina, HI",Lager,Munich Helles Lager,,12,0.045,18,a250
Dundee Summer Wheat Beer,Dundee Brewing Company,"Rochester, NY",Other Ale,American Pale Wheat Ale,,12,0.045,18,a251
Tin Roof Blonde Ale,Tin Roof Brewing Company,"Baton Rouge, LA",Other Ale,American Blonde Ale,,12,0.045,18,a252
Longboard Island Lager,Kona Brewing Company,"Kona, HI",Red Ale,American Amber / Red Lager,,12,0.046,18,a253
Longboard Island Lager,Kona Brewing Company,"Kona, HI",Red Ale,American Amber / Red Lager,,12,0.046,18,a254
Florida Cracker Belgian Wit,Cigar City Brewing Company,"Tampa, FL",Other Ale,Witbier,,12,0.05,18,a255
Snake River Lager,Snake River Brewing Company,"Jackson, WY",Lager,Vienna Lager,,12,0.05,18,a256
Pyramid Hefeweizen,Pyramid Breweries,"Seattle, WA",Wheat,Hefeweizen,,12,0.052,18,a257
Sweet As Pacific Ale,Good Life Brewing Company,"Bend, OR",Other Ale,American Pale Wheat Ale,,12,0.06,18,a258
Blacktop Blonde,TailGate Beer,"San Diego, CA",Other Ale,American Blonde Ale,,12,0.05,19,a259
Avalanche Ale,Breckenridge Brewery,"Denver, CO",Red Ale,American Amber / Red Ale,,12,0.054,19,a260
312 Urban Wheat Ale,Goose Island Brewing Company,"Chicago, IL",Other Ale,American Pale Wheat Ale,,12,0.042,20,a261
Starr Pils,Starr Hill Brewery,"Crozet, VA",Lager,German Pilsener,,12,0.042,20,a262
Jon Boat Coastal Ale,Intuition Ale Works,"Jacksonville, FL",Other Ale,American Blonde Ale,,12,0.045,20,a263
Double D Blonde,Hop Valley Brewing Company,"Springfield, OR",Other Ale,American Blonde Ale,,12,0.049,20,a264
Arizona Pilsner,Lumberyard Brewing Company,"Flagstaff, AZ",Lager,American Pilsner,,12,0.05,20,a265
Bombshell Blonde,Southern Star Brewing Company,"Conroe, TX",Other Ale,American Blonde Ale,,12,0.05,20,a266
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,"Manhattan, KS",Other Ale,American Pale Wheat Ale,,12,0.05,20,a267
Mr. Pineapple,SanTan Brewing Company,"Chandler, AZ",Wheat,Hefeweizen,,12,0.05,20,a268
#9,Magic Hat Brewing Company,"South Burlington, VT",Fruit,Fruit / Vegetable Beer,,12,0.051,20,a269
Pumpkan,Wachusett Brewing Company,"Westminster, MA",Other Ale,Pumpkin Ale,,12,0.052,20,a270
SoDo Brown Ale,Two Beers Brewing Company,"Seattle, WA",Other Ale,American Brown Ale,,12,0.054,20,a271
Epicenter Amber Ale (2010),SanTan Brewing Company,"Chandler, AZ",Red Ale,American Amber / Red Ale,,12,0.055,20,a272
Epicenter Amber Ale,SanTan Brewing Company,"Chandler, AZ",Red Ale,American Amber / Red Ale,,12,0.055,20,a273
Barn Burner Saison,Karbach Brewing Company,"Houston, TX",Other Ale,Saison / Farmhouse Ale,,12,0.066,20,a274
Sex Panther,SanTan Brewing Company,"Chandler, AZ",Stout/Porter,American Porter,,12,0.069,20,a275
Firemans #4 Blonde Ale,Real Ale Brewing Company,"Blanco, TX",Other Ale,American Blonde Ale,,12,0.051,21,a276
Dunkel Lager,Sly Fox Brewing Company,"Phoenixville, PA",Lager,Munich Dunkel Lager,,12,0.053,21,a277
Tonganoxie Honey Wheat,High Noon Saloon And Brewery,"Leavenworth, KS",Other Ale,American Pale Wheat Ale,,12,0.044,22,a278
Upslope Craft Lager,Upslope Brewing Company,"Boulder, CO",Lager,Vienna Lager,,12,0.048,22,a279
Flagship Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",Other Ale,Cream Ale,,12,0.049,22,a280
OB-1 Organic Ale,Snake River Brewing Company,"Jackson, WY",Other Ale,English Brown Ale,,12,0.05,22,a281
Special Amber,Sprecher Brewing Company,"Glendale, WI",Lager,Vienna Lager,,12,0.05,22,a282
Special Amber,Sprecher Brewing Company,"Glendale, WI",Lager,Vienna Lager,,12,0.05,22,a283
Dallas Blonde,Deep Ellum Brewing Company,"Dallas, TX",Other Ale,American Blonde Ale,,12,0.052,23,a284
Le Mort Vivant,Southern Star Brewing Company,"Conroe, TX",Other Ale,Biêëre de Garde,,12,0.069,23,a285
Atom Smasher,Two Brothers Brewing Company,"Warrenville, IL",Oktoberfest,Mê_rzen / Oktoberfest,,12,0.077,23,a286
Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",Other Ale,American Pale Wheat Ale,,12,0.042,24,a287
Black Bear Dark Lager,Morgan Street Brewery,"Saint Louis, MO",Lager,Schwarzbier,,12,0.046,24,a288
Kodiak Brown Ale,Midnight Sun Brewing Company,"Anchorage, AK",Other Ale,American Brown Ale,,12,0.05,24,a289
Hurricane Amber Ale,Coastal Extreme Brewing Company,"Newport, RI",Red Ale,American Amber / Red Ale,,12,0.052,24,a290
Hurricane Amber Ale (2004),Coastal Extreme Brewing Company,"Newport, RI",Red Ale,American Amber / Red Ale,,12,0.052,24,a291
Ashland Amber Ale,Caldera Brewing Company,"Ashland, OR",Red Ale,American Amber / Red Ale,,12,0.054,24,a292
Ashland Amber Ale (2009),Caldera Brewing Company,"Ashland, OR",Red Ale,American Amber / Red Ale,,12,0.054,24,a293
Sobrehumano Palena'ole,Maui Brewing Company,"Lahaina, HI",Red Ale,American Amber / Red Ale,,12,0.06,24,a294
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,"Edwards, CO",Red Ale,American Amber / Red Ale,,12,0.052,25,a295
Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",Other Ale,American Brown Ale,,12,0.055,25,a296
Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",Other Ale,English Brown Ale,,12,0.055,25,a297
Mutton Buster,Payette Brewing Company,"Garden City, ID",Other Ale,American Brown Ale,,12,0.055,25,a298
Oktoberfest Revolution,Revolution Brewing Company,"Chicago, IL",Oktoberfest,Mê_rzen / Oktoberfest,,12,0.057,25,a299
Steam Engine Lager,Steamworks Brewing Company,"Durango, CO",Lager,American Amber / Red Lager,,12,0.057,25,a300
Oktoberfest Lager,Sly Fox Brewing Company,"Phoenixville, PA",Oktoberfest,Mê_rzen / Oktoberfest,,12,0.058,25,a301
Ninja Porter,Asheville Brewing Company,"Asheville, NC",Stout/Porter,American Porter,,12,0.053,26,a302
Colorado Native (2011),AC Golden Brewing Company,"Golden, CO",Lager,American Amber / Red Lager,,12,0.055,26,a303
Colorado Native,AC Golden Brewing Company,"Golden, CO",Lager,American Amber / Red Lager,,12,0.055,26,a304
Rocket Girl,Asheville Brewing Company,"Asheville, NC",Lager,Kê_lsch,,12,0.032,27,a305
Bomb Lager (Old Recipe),Bomb Beer Company,"New York, NY",Lager,Munich Helles Lager,,12,0.045,27,a306
Shenanigans Summer Ale,Indeed Brewing Company,"Minneapolis, MN",Other Ale,American Pale Wheat Ale,,12,0.046,27,a307
Immersion Amber Ale,Two Beers Brewing Company,"Seattle, WA",Red Ale,American Amber / Red Ale,,12,0.052,27,a308
This Season's Blonde,Aspen Brewing Company,"Aspen, CO",Other Ale,American Blonde Ale,,12,0.056,27,a309
Copper Hook (2011),Redhook Brewery,"Woodinville, WA",Red Ale,American Amber / Red Ale,,12,0.058,27,a310
Perfect Tin Amber,Tin Roof Brewing Company,"Baton Rouge, LA",Red Ale,American Amber / Red Ale,,12,0.045,28,a311
Underdog Atlantic Lager,Flying Dog Brewery,"Frederick, MD",Lager,American Pale Lager,,12,0.047,28,a312
Lancaster German Style Kê_lsch,Lancaster Brewing Company,"Lancaster, PA",Other Ale,Kê_lsch,,12,0.048,28,a313
Pamola Xtra Pale Ale,Baxter Brewing Company,"Lewiston, ME",American Pale Ale (APA),American Pale Ale (APA),,12,0.049,28,a314
TailGate Hefeweizen,TailGate Beer,"San Diego, CA",Wheat,Hefeweizen,,12,0.049,28,a315
Harpoon Summer Beer (2010),Harpoon Brewery,"Boston, MA",Other Ale,Kê_lsch,,12,0.05,28,a316
Harpoon Summer Beer,Harpoon Brewery,"Boston, MA",Other Ale,Kê_lsch,,12,0.05,28,a317
People's Pale Ale,Intuition Ale Works,"Jacksonville, FL",American Pale Ale (APA),American Pale Ale (APA),,12,0.053,28,a318
Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,"Boonville, CA",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,28,a319
Toasted Lager,Blue Point Brewing Company,"Patchogue, NY",Lager,Vienna Lager,,12,0.055,28,a320
Lands End Amber Ale,Kannah Creek Brewing Company,"Grand Junction, CO",Red Ale,American Amber / Red Ale,,12,0.057,28,a321
Eugene Porter,Revolution Brewing Company,"Chicago, IL",Stout/Porter,American Porter,,12,0.068,28,a322
WYLD Extra Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),American Pale Ale (APA),,12,0.04,29,a323
Churchkey Pilsner Style Beer,Churchkey Can Company,"Seattle, WA",Pilsner,American Pilsner,,12,0.049,29,a324
Shift,New Belgium Brewing Company,"Fort Collins, CO",Lager,American Pale Lager,,12,0.05,29,a325
Cardinal Pale Ale,Nebraska Brewing Company,"Papillion, NE",American Pale Ale (APA),American Pale Ale (APA),,12,0.057,29,a326
Long Trail Ale,Long Trail Brewing Company,"Bridgewater Corners, VT",Other Ale,Altbier,,12,0.046,30,a327
Boston Lager,Boston Beer Company,"Boston, MA",Lager,Vienna Lager,,12,0.049,30,a328
Lily Flagg Milk Stout,Straight to Ale,"Huntsville, AL",Stout/Porter,Milk / Sweet Stout,,12,0.05,30,a329
Pablo Beach Pale Ale,Green Room Brewing,"Jacksonville, FL",American Pale Ale (APA),American Pale Ale (APA),,12,0.05,30,a330
Universale Pale Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,30,a331
CoCoNut Porter,Maui Brewing Company,"Lahaina, HI",Stout/Porter,American Porter,,12,0.057,30,a332
AARGHtoberfest!,Heavy Seas Beer,"Halethorpe, MD",Oktoberfest,Mê_rzen / Oktoberfest,,12,0.06,30,a333
Fistmas Ale,Revolution Brewing Company,"Chicago, IL",Other Ale,Herbed / Spiced Beer,,12,0.061,31,a334
Organic Baba Black Lager,Uinta Brewing Company,"Salt Lake City, UT",Lager,Schwarzbier,,12,0.04,32,a335
Big River Pilsner,Big River Brewing Company,"Chattanooga, TN",Pilsner,Czech Pilsener,,12,0.05,32,a336
Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,"Portland, OR",Red Ale,American Amber / Red Ale,,12,0.051,32,a337
Hell-Diver Pale Ale,Sockeye Brewing Company,"Boise, ID",American Pale Ale (APA),American Pale Ale (APA),,12,0.052,32,a338
Snake River Pale Ale,Snake River Brewing Company,"Jackson, WY",American Pale Ale (APA),American Pale Ale (APA),,12,0.052,32,a339
2012 Black Ale,Stevens Point Brewery,"Stevens Point, WI",Other Ale,American Brown Ale,,12,0.054,32,a340
Point Cascade Pale Ale,Stevens Point Brewery,"Stevens Point, WI",American Pale Ale (APA),American Pale Ale (APA),,12,0.054,33,a341
Tommyknocker Ornery Amber Lager (2003),Tommyknocker Brewery,"Idaho Springs, CO",Lager,Vienna Lager,,12,0.055,33,a342
Cutthroat Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),American Pale Ale (APA),,12,0.04,34,a343
834 Happy As Ale,Blue Blood Brewing Company,"Lincoln, NE",American Pale Ale (APA),American Pale Ale (APA),,12,0.046,35,a344
Payette Pale Ale,Payette Brewing Company,"Garden City, ID",American Pale Ale (APA),American Pale Ale (APA),,12,0.048,35,a345
Hazed & Infused,Boulder Beer Company,"Boulder, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.049,35,a346
Golden Pilsner,Morgan Street Brewery,"Saint Louis, MO",Pilsner,German Pilsener,,12,0.05,35,a347
Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Pilsner,Czech Pilsener,,12,0.053,35,a348
Amber Road,Baxter Brewing Company,"Lewiston, ME",Red Ale,American Amber / Red Ale,,12,0.055,35,a349
Hoopla Pale Ale,Boulder Beer Company,"Boulder, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.057,35,a350
Old Red Beard Amber Ale,Astoria Brewing Company,"Astoria, OR",Red Ale,American Amber / Red Ale,,12,0.06,35,a351
Poop Deck Porter,Astoria Brewing Company,"Astoria, OR",Stout/Porter,American Porter,,12,0.062,35,a352
Harvest Ale,Fremont Brewing Company,"Seattle, WA",Other Ale,Saison / Farmhouse Ale,,12,0.065,35,a353
Old Chub,Oskar Blues Brewery,"Longmont, CO",Other Ale,Scottish Ale,,12,0.08,35,a354
Old Chub (2003),Oskar Blues Brewery,"Lyons, CO",Other Ale,Scottish Ale,,12,0.08,35,a355
Old Chub (2004),Oskar Blues Brewery,"Lyons, CO",Other Ale,Scottish Ale,,12,0.08,35,a356
Old Chub (2008),Oskar Blues Brewery,"Lyons, CO",Other Ale,Scottish Ale,,12,0.08,35,a357
Monk's Blood,21st Amendment Brewery,"San Francisco, CA",Other Ale,Belgian Dark Ale,,12,0.083,35,a358
Sidekick Extra Pale Ale,Two Brothers Brewing Company,"Warrenville, IL",American Pale Ale (APA),American Pale Ale (APA),,12,0.051,36,a359
Zonker Stout,Snake River Brewing Company,"Jackson, WY",Stout/Porter,Foreign / Export Stout,,12,0.054,36,a360
Good People Pale Ale,Good People Brewing Company,"Birmingham, AL",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,36,a361
Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,"Carlsbad, CA",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,36,a362
Persnickety Pale,Two Beers Brewing Company,"Seattle, WA",American Pale Ale (APA),American Pale Ale (APA),,12,0.057,36,a363
Good People American Brown Ale,Good People Brewing Company,"Birmingham, AL",Other Ale,American Brown Ale,,12,0.058,36,a364
Light IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,American IPA,,12,0.04,37,a365
Voodoo Bengal Pale Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,37,a366
WICKED SNOUT (1335),Blue Blood Brewing Company,"Lincoln, NE",Other Ale,,,12,0.064,32,a367
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,"Chico, CA",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,37,a368
Field 41 Pale Ale,Bale Breaker Brewing Company,"Moxee, WA",American Pale Ale (APA),American Pale Ale (APA),,12,0.044,38,a369
Alteration,Hops & Grain Brewery,"Austin, TX",Pilsner,Altbier,,12,0.051,40,a370
Phoenix Pale Ale,Sly Fox Brewing Company,"Phoenixville, PA",American Pale Ale (APA),American Pale Ale (APA),,12,0.051,40,a371
Silverback Pale Ale,Wynkoop Brewing Company,"Denver, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,40,a372
Blue Point White IPA,Blue Point Brewing Company,"Patchogue, NY",American IPA,American IPA,,12,0.06,40,a373
Old Potentate,Southern Star Brewing Company,"Conroe, TX",Other Ale,Old Ale,,12,0.072,40,a374
Hot Rod Red,Aviator Brewing Company,"Fuquay-Varina, NC",Red Ale,American Amber / Red Ale,,12,0.061,41,a375
Bitter American (2011),21st Amendment Brewery,"San Francisco, CA",American Pale Ale (APA),American Pale Ale (APA),,12,0.044,42,a376
Bitter American,21st Amendment Brewery,"San Francisco, CA",American Pale Ale (APA),American Pale Ale (APA),,12,0.044,42,a377
Avery Joe_ã_s Premium American Pilsner,Avery Brewing Company,"Boulder, CO",Pilsner,German Pilsener,,12,0.047,42,a378
Harpoon IPA (2010),Harpoon Brewery,"Boston, MA",American IPA,American IPA,,12,0.059,42,a379
Harpoon IPA,Harpoon Brewery,"Boston, MA",American IPA,American IPA,,12,0.059,42,a380
Pikeland Pils,Sly Fox Brewing Company,"Phoenixville, PA",Pilsner,German Pilsener,,12,0.049,44,a381
TailGate IPA,TailGate Beer,"San Diego, CA",American IPA,American IPA,,12,0.05,44,a382
Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,American IPA,,12,0.065,44,a383
Sympathy for the Lager,Karbach Brewing Company,"Houston, TX",Lager,American Amber / Red Lager,,12,0.049,45,a384
Day Tripper Pale Ale,Indeed Brewing Company,"Minneapolis, MN",American Pale Ale (APA),American Pale Ale (APA),,12,0.054,45,a385
American Idiot Ale (2012),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,45,a386
Devil_ã_s Ale (2010),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,45,a387
Devil_ã_s Ale,SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,45,a388
Fremont Summer Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,45,a389
Belgorado,Wynkoop Brewing Company,"Denver, CO",Other Ale,Belgian IPA,,12,0.067,45,a390
Loose Cannon,Heavy Seas Beer,"Halethorpe, MD",American IPA,American IPA,,12,0.072,45,a391
Fireside Chat (2010),21st Amendment Brewery,"San Francisco, CA",Other Ale,Winter Warmer,,12,0.079,45,a392
Fireside Chat,21st Amendment Brewery,"San Francisco, CA",Other Ale,Winter Warmer,,12,0.079,45,a393
Single Engine Red,Denali Brewing Company,"Talkeetna, AK",Red Ale,Irish Red Ale,,12,0.008,46,a394
Mother Ale,Denali Brewing Company,"Talkeetna, AK",Other Ale,American Blonde Ale,,12,0.056,46,a395
Hop Knot IPA,Four Peaks Brewing Company,"Tempe, AZ",American IPA,American IPA,,12,0.067,47,a396
East India Pale Ale,Brooklyn Brewery,"Brooklyn, NY",Other Ale,English India Pale Ale (IPA),,12,0.068,47,a397
Trailhead India Style Session Ale,Two Beers Brewing Company,"Seattle, WA",American IPA,American IPA,,12,0.048,48,a398
Dry Dock Amber Ale,Dry Dock Brewing Company,"Aurora, CO",Red Ale,American Amber / Red Ale,,12,0.058,49,a399
Fox Tail Gluten Free Ale,Joseph James Brewing Company,"Henderson, NV",American Pale Ale (APA),American Pale Ale (APA),,12,0.05,50,a400
Standing Wave Pale Ale,Kannah Creek Brewing Company,"Grand Junction, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,50,a401
Four Squared,Real Ale Brewing Company,"Blanco, TX",Other Ale,American Blonde Ale,,12,0.06,50,a402
Pale Dog,Hops & Grain Brewery,"Austin, TX",American Pale Ale (APA),American Pale Ale (APA),,12,0.06,50,a403
Buried Hatchet Stout,Southern Star Brewing Company,"Conroe, TX",Stout/Porter,Foreign / Export Stout,,12,0.083,50,a404
Hans' Pils,Real Ale Brewing Company,"Blanco, TX",Pilsner,German Pilsener,,12,0.053,52,a405
Greenville Pale Ale,Twin Lakes Brewing Company,"Greenville, DE",American Pale Ale (APA),American Pale Ale (APA),,12,0.055,52,a406
Jockamo IPA,Abita Brewing Company,"Abita Springs, LA",American IPA,American IPA,,12,0.065,52,a407
Northern Lights India Pale Ale,Starr Hill Brewery,"Crozet, VA",American IPA,American IPA,,12,0.065,52,a408
Special Edition: Allies Win The War!,21st Amendment Brewery,"San Francisco, CA",Other Ale,English Strong Ale,,12,0.085,52,a409
Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Pale Ale (APA),American Pale Ale (APA),,12,0.06,54,a410
Caldera Pale Ale,Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,55,a411
Caldera Pale Ale (2007),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,55,a412
Caldera Pale Ale (2005),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,55,a413
Caldera Pale Ale (2008),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,55,a414
Caldera Pale Ale (2010),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,55,a415
Caldera Pale Ale (2009),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),American Pale Ale (APA),,12,0.056,55,a416
Green Monsta IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,American IPA,,12,0.06,55,a417
House Brand IPA,Big River Brewing Company,"Chattanooga, TN",American IPA,American IPA,,12,0.06,55,a418
I-10 IPA,Intuition Ale Works,"Jacksonville, FL",American IPA,American IPA,,12,0.068,55,a419
Watership Brown Ale,Red Hare Brewing Company,"Marietta, GA",Other Ale,American Brown Ale,,12,0.072,55,a420
ESB Special Ale,Ska Brewing Company,"Durango, CO",Other Ale,Extra Special / Strong Bitter (ESB),,12,0.057,58,a421
Full Nelson Pale Ale,Blue Mountain Brewery,"Afton, VA",American Pale Ale (APA),American Pale Ale (APA),,12,0.059,60,a422
Pako_ã_s EyePA,Snake River Brewing Company,"Jackson, WY",American IPA,American IPA,,12,0.068,60,a423
Snake Dog IPA,Flying Dog Brewery,"Frederick, MD",American IPA,American IPA,,12,0.071,60,a424
Gordon Beer (2006),Oskar Blues Brewery,"Lyons, CO",Other Ale,American Double / Imperial IPA,,12,0.087,60,a425
One Hit Wonder,Oskar Blues Brewery,"Longmont, CO",Other Ale,American Double / Imperial IPA,,12,0.09,60,a426
Grand Circus IPA,Atwater Brewery,"Detroit, MI",American IPA,American IPA,,12,0.05,62,a427
Good People IPA,Good People Brewing Company,"Birmingham, AL",American IPA,American IPA,,12,0.06,64,a428
Fairweather IPA,Broken Tooth Brewing Company,"Anchorage, AK",American IPA,American IPA,,12,0.061,64,a429
Big Sky IPA,Big Sky Brewing Company,"Missoula, MT",American IPA,American IPA,,12,0.062,65,a430
Big Swell IPA,Maui Brewing Company,"Lahaina, HI",American IPA,American IPA,,12,0.062,65,a431
Outlaw IPA,Payette Brewing Company,"Garden City, ID",American IPA,American IPA,,12,0.062,65,a432
Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a433
Dale's Pale Ale (2002),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a434
Dale's Pale Ale (2004),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a435
Dale's Pale Ale (2003),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a436
Dale's Pale Ale (2006),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a437
Dale's Pale Ale (2008),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a438
Dale's Pale Ale (2010),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a439
Dale's Pale Ale (2011),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a440
Dale's Pale Ale (2012),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a441
Dale's Pale Ale,Oskar Blues Brewery,"Brevard, NC",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a442
Dale's Pale Ale (10 Year Anniversary),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),American Pale Ale (APA),,12,0.065,65,a443
Nebraska India Pale Ale,Nebraska Brewing Company,"Papillion, NE",American IPA,American IPA,,12,0.065,65,a444
Third Eye Pale Ale,Steamworks Brewing Company,"Durango, CO",American IPA,American IPA,,12,0.065,65,a445
Back in Black,21st Amendment Brewery,"San Francisco, CA",Other Ale,American Black Ale,,12,0.068,65,a446
Modus Hoperandi,Ska Brewing Company,"Durango, CO",American IPA,American IPA,,12,0.068,65,a447
Westbrook IPA,Westbrook Brewing Company,"Mt. Pleasant, SC",American IPA,American IPA,,12,0.068,65,a448
Brew Free! or Die IPA,21st Amendment Brewery,"San Francisco, CA",American IPA,American IPA,,12,0.07,65,a449
Josê© Martê_ American Porter,Cigar City Brewing Company,"Tampa, FL",Stout/Porter,American Porter,,12,0.08,65,a450
Independence Pass Ale,Aspen Brewing Company,"Aspen, CO",American IPA,American IPA,,12,0.07,67,a451
Lucky U IPA,Breckenridge Brewery,"Denver, CO",American IPA,American IPA,,12,0.062,68,a452
Flyin' HI.P.Hay,Maui Brewing Company,"Lahaina, HI",American IPA,American IPA,,12,0.068,68,a453
Cane and Ebel,Two Brothers Brewing Company,"Warrenville, IL",Other Ale,American Strong Ale,,12,0.07,68,a454
Shiva IPA,Asheville Brewing Company,"Asheville, NC",American IPA,American IPA,,12,0.06,69,a455
Avery India Pale Ale,Avery Brewing Company,"Boulder, CO",American IPA,American IPA,,12,0.063,69,a456
Stowaway IPA,Baxter Brewing Company,"Lewiston, ME",American IPA,American IPA,,12,0.069,69,a457
Sockeye Red IPA,Midnight Sun Brewing Company,"Anchorage, AK",American IPA,American IPA,,12,0.057,70,a458
Evolutionary IPA (2011),Two Beers Brewing Company,"Seattle, WA",American IPA,American IPA,,12,0.062,70,a459
Evolutionary IPA,Two Beers Brewing Company,"Seattle, WA",American IPA,American IPA,,12,0.062,70,a460
Anti-Hero IPA,Revolution Brewing Company,"Chicago, IL",American IPA,American IPA,,12,0.065,70,a461
Ranger IPA,New Belgium Brewing Company,"Fort Collins, CO",American IPA,American IPA,,12,0.065,70,a462
Hopadillo India Pale Ale,Karbach Brewing Company,"Houston, TX",American IPA,American IPA,,12,0.066,70,a463
Watershed IPA,Oakshire Brewing,"Eugene, OR",American IPA,American IPA,,12,0.067,70,a464
